@relation musicout

@attribute BHSUM3 numeric
@attribute amazed-suprised {0,1}
@attribute happy-pleased {0,1}
@attribute relaxing-calm {0,1}
@attribute quiet-still {0,1}
@attribute sad-lonely {0,1}
@attribute angry-aggresive {0,1}
@attribute a {0,1}
@attribute b {0,1}
@attribute c {0,1}
@attribute d {0,1}
@attribute e {0,1}
@attribute f {0,1}
@attribute g {0,1}
@attribute h {0,1}
@attribute i {0,1}


@data
30629,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1
30630,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0
30631,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1
30632,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0
30633,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1
30634,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0
30635,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1
30636,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0
30637,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1
30638,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0
30639,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1
30640,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0
30641,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1
30642,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0
30643,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1
30644,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0
30645,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1
30646,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0
30647,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
30648,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0
30649,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1
30650,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0
30651,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
30652,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0
30653,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
30654,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0
30655,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
30656,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
30657,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1
30658,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0
30659,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1
30660,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
30661,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1
30662,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
30663,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1
30664,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0
30665,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1
30666,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0
30667,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1
30668,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0
30669,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1
30670,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0
30671,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
30672,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0
30673,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1
30674,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0
30675,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
30676,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0
30677,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1
30678,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0
30679,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
30680,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0
30681,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1
30682,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0
30683,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
30684,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0
30685,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
30686,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0
30687,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
30688,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
30689,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1
30690,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0
30691,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1
30692,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0
30693,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1
30694,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
30695,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
30696,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0
30697,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1
30698,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0
30699,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
30700,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0
30701,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1
30702,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
30703,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
30704,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
30705,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1
30706,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0
30707,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
30708,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0
30709,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
30710,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
30711,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
30712,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
30713,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
30714,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
30715,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
30716,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
30717,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
30718,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
30719,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
30720,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
30721,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
30722,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
30723,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
30724,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
30725,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
30726,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
30727,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
30728,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
30729,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1
30730,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
30731,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1
30732,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0
30733,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1
30734,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0
30735,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
30736,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
30737,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1
30738,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0
30739,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1
30740,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0
30741,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1
30742,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0
30743,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1
30744,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0
30745,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1
30746,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0
30747,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1
30748,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
30749,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1
30750,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
30751,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
30752,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
30753,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
30754,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
30755,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1
30756,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
30757,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1
30758,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0
30759,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1
30760,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
30761,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1
30762,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0
30763,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1
30764,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0
30765,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1
30766,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0
30767,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1
30768,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
30769,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1
30770,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0
30771,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1
30772,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
30773,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1
30774,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0
30775,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
30776,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0
30777,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1
30778,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0
30779,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1
30780,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0
30781,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1
30782,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0
30783,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1
30784,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
30785,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
30786,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
30787,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1
30788,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0
30789,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1
30790,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
30791,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1
30792,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
30793,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1
30794,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0
30795,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1
30796,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0
30797,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1
30798,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0
30799,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1
30800,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
30801,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1
30802,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0
30803,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1
30804,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0
30805,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1
30806,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0
30807,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1
30808,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0
30809,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1
30810,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0
30811,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1
30812,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0
30813,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1
30814,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0
30815,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1
30816,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
30817,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
30818,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0
30819,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1
30820,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0
30821,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1
30822,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0
30823,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1
30824,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0
30825,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1
30826,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0
30827,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1
30828,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0
30829,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1
30830,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0
30831,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1
30832,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
30833,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1
30834,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0
30835,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1
30836,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0
30837,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1
30838,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0
30839,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1
30840,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0
30841,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1
30842,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0
30843,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1
30844,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0
30845,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1
30846,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0
30847,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
30848,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
30849,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
30850,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
30851,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1
30852,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
30853,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1
30854,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0
30855,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1
30856,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0
30857,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1
30858,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0
30859,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1
30860,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0
30861,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1
30862,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0
30863,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1
30864,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
30865,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1
30866,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0
30867,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1
30868,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0
30869,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
30870,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0
30871,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1
30872,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0
30873,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1
30874,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0
30875,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1
30876,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0
30877,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1
30878,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0
30879,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1
30880,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0
30881,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1
30882,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0
30883,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1
30884,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0
30885,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1
30886,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0
30887,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1
30888,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0
30889,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1
30890,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0
30891,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1
30892,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0
30893,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1
30894,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0
30895,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1
30896,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0
30897,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1
30898,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0
30899,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1
30900,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0
30901,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1
30902,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0
30903,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1
30904,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0
30905,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1
30906,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0
30907,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1
30908,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0
30909,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1
30910,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0
30911,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
30912,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
30913,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1
30914,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0
30915,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1
30916,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0
30917,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1
30918,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0
30919,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1
30920,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0
30921,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1
30922,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0
30923,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1
30924,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0
30925,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1
30926,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0
30927,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1
30928,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0
30929,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1
30930,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0
30931,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1
30932,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0
30933,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1
30934,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0
30935,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1
30936,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0
30937,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1
30938,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0
30939,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1
30940,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0
30941,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1
30942,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0
30943,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1
30944,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0
30945,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1
30946,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0
30947,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1
30948,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0
30949,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1
30950,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0
30951,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1
30952,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0
30953,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1
30954,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0
30955,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1
30956,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0
30957,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1
30958,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0
30959,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1
30960,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0
30961,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1
30962,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0
30963,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1
30964,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0
30965,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
30966,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0
30967,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1
30968,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0
30969,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1
30970,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0
30971,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
30972,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0
30973,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1
30974,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
30975,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
30976,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
30977,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
30978,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
30979,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1
30980,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0
30981,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1
30982,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0
30983,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1
30984,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
30985,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1
30986,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0
30987,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1
30988,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0
30989,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1
30990,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0
30991,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1
30992,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
30993,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
30994,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0
30995,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1
30996,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0
30997,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1
30998,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0
30999,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1
31000,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0
31001,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1
31002,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0
31003,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1
31004,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0
31005,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1
31006,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0
31007,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1
31008,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
31009,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1
31010,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0
31011,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1
31012,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0
31013,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1
31014,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0
